TEMP,pH,Conc
43.92,8,9.06624
40.55,8,8.57085
37.43,8,7.94773
46.95,8,9.51165
29.93,6.5,8.22355
41.35,3,3.34255
37.89,5,10.94093
27.9,3,1.7459
42.31,6.5,11.60638
45.64,2,2.81532
40.13,4.5,5.21209
39.25,5,11.12725
25.51,2,0.81548
29.08,7,6.92625
31.91,6,11.24456
27.32,2,1.08336
21.22,7,4.87793
43.2,7,9.8924
40.74,6,14.72248
20.72,3,0.15912
37.6,3,2.9548
29.63,3,2.12823
21.97,2,0.29156
46.06,8,9.38082
40.26,2,2.47638
42.48,8,8.85456
24.92,6,8.90568
43.6,3,3.5968
20.75,8,3.33675
40.15,6,14.6328
28.28,8,5.81412
41.25,4.5,5.31625
21.39,3,0.30719
21.78,5,6.71174
29.21,3,2.03541
30.8,5,9.9696
45.15,4.5,5.67895
27.13,5,8.76079
22.51,7,5.21411
26.93,3,1.53153
28.04,3,1.77684
26.71,5,8.59993
37.74,8,8.01314
32.81,7,7.81342
31.92,7,7.60837
48.26,6.5,12.18948
27.75,6,9.766
34.92,4.5,4.92568
26.42,6,9.36168
49.58,4.5,6.09094
36.25,5,10.71625
29.89,4.5,4.65791
48.9,6.5,12.2522
46.68,2,2.88084
29.87,2,1.46076
22.02,4.5,4.50838
46.73,5,11.69437
22.95,8,4.06055
28.41,7,6.75165
38.19,5,10.98203
42.69,6,15.01888
31.25,3,2.3325
47.23,6.5,12.08854
45.18,6.5,11.88764
29.88,3,2.18348
34.52,5,10.47924
45.86,8,9.35142
27.95,4.5,4.62105
34.29,3,2.63042
45.59,7,10.20788
45.52,4.5,5.71336
20.44,4.5,4.47836
34.23,4.5,4.88842
39.66,2,2.42668
22.75,4.5,4.52225
39.61,7,9.38014
31.21,2,1.59858
37.82,8,8.03002
25.75,4.5,4.57925
41.69,3,3.38097
21.64,4.5,4.50116
28.47,8,5.87663
37.08,4.5,5.04232
30.97,5,9.99289
38.56,6.5,10.92784
40.57,6.5,11.43586
22.5,2,0.37
41.88,7,9.71816
30.77,4.5,4.70158
42.29,5,11.38801
44.67,8,9.17649
26.88,6.5,7.5068
48.41,5,11.81029
47.02,4.5,5.85286
44.15,7,10.0178
43.8,4.5,5.5534
20.11,8,3.12619
35.45,2,2.0141
35.87,6.5,10.08318
35.41,8,7.52151
29.9,7,7.13994
27.02,4.5,4.60338
41.96,5,11.36524
44.97,7,10.12604
34.25,7,8.1452
35.53,3,2.75194
36.27,6.5,10.20878
48.2,6.5,12.1836
42.3,5,11.3887
47.44,7,10.45208
43.58,5,11.47702
34.75,6,12.426
44.09,3,3.65217
38.8,6,14.1108
43.4,8,8.9898
20.38,6.5,5.9793
43.22,7,9.89504
27.56,3,1.67076
32.08,2,1.68384
34.98,3,2.69804
39.23,6.5,11.13822
31,6.5,8.554
33.09,6.5,9.21026
41.84,4.5,5.37112
35.85,4.5,4.9759
42.4,4.5,5.4232
23,6.5,6.595
43.27,6.5,11.70046
44.78,7,10.10096
25.13,6.5,7.09555
42.67,8,8.88249
27.66,2,1.13368
20.75,5,6.31725
24.8,5,7.8684
41.91,2,2.58033
36.41,6,13.11656
28.61,7,6.80377
30.87,7,7.36645
24.31,3,0.95251
22.45,4.5,4.51655
25.14,6,8.97256
20.13,2,0.01924
23.29,5,7.29007
27.97,2,1.17956
40,6.5,11.38
29.76,3,2.15696
32.14,8,6.83154
44.31,6,15.26512
44.38,7,10.04816
36.12,6.5,10.16168
34.19,6.5,9.55566
21.09,8,3.44861
20.07,6,7.43128
45.91,7,10.25012
31.54,4.5,4.74316
49.85,7,10.7702
21.97,6,8.00888
34.7,2,1.9406
47.03,4.5,5.85379
46.5,6,15.598
41.62,5,11.34178
23.64,6.5,6.7454
46.51,7,10.32932
34.48,4.5,4.90192
47.67,3,4.05671
43.76,5,11.48944
28.99,7,6.90279
49.93,6.5,12.35314
34.03,2,1.87494
33.14,2,1.78772
21.21,8,3.48809
20.97,3,0.21437
33.11,5,10.28607
40.87,6.5,11.46526
31.49,8,6.69439
35.62,6.5,10.00468
21.7,5,6.6811
36.27,5,10.71899
32.05,3,2.4109
43.51,4.5,5.52643
27.45,6.5,7.64075
35.11,2,1.98078
28.36,3,1.84756
31.34,4.5,4.73236
43.89,2,2.70507
24.43,4.5,4.55417
44.41,7,10.05212
34.65,8,7.36115
49.79,5,11.90551
37.03,8,7.86333
21.98,8,3.74142
48.13,7,10.54316
20.46,6.5,5.9981
21.03,7,4.82842
44.22,7,10.02704
20.03,8,3.09987
26.52,5,8.52716
25.57,8,4.92253
46.28,5,11.66332
30.16,4.5,4.66864
43.81,2,2.70003
40.04,8,8.49588
35.46,4.5,4.95484
23.13,7,5.37568
22.63,5,7.03729
20.68,8,3.31372
32.57,2,1.73186
29.9,2,1.4652
27.91,5,9.05953
47.61,8,9.60867
33.07,8,7.02777
46.95,7,10.3874
31.18,8,6.62898
41.89,6,14.89728
40.45,8,8.55615
27.83,8,5.66607
46.3,2,2.8569
48.75,3,4.17875
42.05,2,2.58915
28.01,6.5,7.77235
44.15,3,3.65895
21.94,6,7.99976
35.19,8,7.47509
21.27,7,4.89096
37.66,6.5,10.64524
44.82,6,15.34264
41.63,6,14.85776
26.13,7,6.15748
29.54,6,10.31016
40.63,5,11.27347
27.44,7,6.49886
22.49,7,5.20889
22.41,2,0.35668
20.2,6,7.4708
29.41,2,1.39268
25.22,4.5,4.56918
27.26,6,9.61704
31.58,2,1.63484
23.9,4.5,4.5441
22.33,8,3.85657
34.23,6.5,9.56822
38.69,5,11.05053
38.02,5,10.95874
46.3,6.5,11.9974
34.23,7,8.14059
34.51,5,10.47787
24.28,8,4.49812
41.43,3,3.35159
44.75,6.5,11.8455
35.24,4.5,4.94296
43.15,7,9.8858
20.68,2,0.10064
44.89,6.5,11.85922
23.47,3,0.76687
38.72,7,9.17509
26.99,8,5.38971
43.72,5,11.48668
30.67,5,9.95179
35.28,8,7.49408
24.92,4.5,4.56348
21.44,5,6.58152
34.29,6,12.23464
41.63,3,3.37419
28.44,4.5,4.63036
29.2,3,2.0332
39.66,4.5,5.18164
34.38,4.5,4.89652
49.02,2,3.02826
45.72,3,3.83636
33.57,6.5,9.36098
44.5,4.5,5.6185
48.12,7,10.54184
31.74,6.5,8.78636
40.84,5,11.28796
47.45,6.5,12.1101
39.52,3,3.14296
45.06,2,2.77878
24.57,8,4.59353
33.31,4.5,4.83874
43.65,5,11.48185
34.74,4.5,4.91596
43.42,2,2.67546
35.86,6.5,10.08004
42.52,6,14.99304
37.63,8,7.98993
29.05,7,6.91843
32.37,5,10.18469
28.43,3,1.86303
43.15,4.5,5.49295
44.07,2,2.71641
48.49,5,11.81581
35.63,2,2.03174
37.38,3,2.93324
49.62,3,4.27706
36.3,5,10.7231
38.79,4.5,5.13466
37.75,5,10.92175
22.2,2,0.3256
46.12,6,15.54024
39.58,6,14.43528
48.27,7,10.56164
48.24,6,15.86248
26.46,6,9.37384
43.97,6.5,11.76906
26.11,5,8.37013
45.58,6.5,11.92684
45.65,6.5,11.9337
29.84,3,2.17464
45.28,6.5,11.89744
40.09,2,2.46567
38.69,6.5,10.96866
30.78,6,10.77448
42.64,6,15.01128
35.66,6,12.80456
32.08,3,2.41384
31.94,3,2.40012
35.58,2,2.02684
41.36,5,11.32384
49.53,5,11.88757
48.79,8,9.78213
22.61,6,8.20344
32.56,2,1.73088
47.68,4.5,5.91424
20.55,7,4.70333
31.48,5,10.06276
42.81,6,15.03712
28.4,8,5.8536
30.07,6,10.47912
23.58,2,0.52984
24.01,8,4.40929
30.47,6,10.64552
35.14,5,10.56418
41.79,3,3.39227
24.29,3,0.94809
38.72,5,11.05464
31.41,6,11.03656
40.2,3,3.2126
20.79,2,0.11692
46.94,8,9.51018
38.6,6.5,10.9404
42.94,8,8.92218
42.97,2,2.64711
41.09,4.5,5.30137
30.9,6.5,8.5226
49.61,8,9.90267
38.38,4.5,5.11252
32.64,6,11.54824
32.28,4.5,4.78312
43.58,3,3.59454
41.55,2,2.55765
35.27,4.5,4.94458
49.06,3,4.21378
33.34,3,2.53732
28.12,6,9.87848
33.7,8,7.1607
37.59,8,7.98149
36.32,8,7.71352
32.5,6,11.49
45.9,3,3.8567
31.16,4.5,4.72264
47.37,7,10.44284
25.34,4.5,4.57146
42.41,8,8.84427
41.6,2,2.5608
24.78,8,4.66262
41.48,7,9.66536
48.33,6.5,12.19634
23.34,3,0.73814
40.3,4.5,5.2279
49.42,3,4.25446
37.34,5,10.86558
33.36,6,11.84776
32.81,4.5,4.81174
30.2,6,10.5332
35.65,5,10.63405
24.84,6,8.88136
47,6,15.674
46.78,8,9.48666
23.23,6.5,6.64905
37.15,6.5,10.4851
36.7,7,8.70968
33.75,5,10.37375
21.23,8,3.49467
25.3,8,4.8337
43.57,6.5,11.72986
45.48,5,11.60812
45.4,6.5,11.9092
24.15,8,4.45535
41.36,3,3.34368
47.82,6.5,12.14636
49.1,3,4.2183
35.47,2,2.01606
23.26,3,0.72046
29.12,2,1.34976
25.17,6.5,7.10495
35.13,6,12.58408
21,3,0.221
26.95,6,9.5228
28.92,7,6.88455
29.19,6,10.20376
31.59,2,1.63582
40.53,3,3.24989
46.48,2,2.86824
29.5,4.5,4.6505
38.63,3,3.05574
32.77,8,6.96447
36.26,6.5,10.20564
30.83,8,6.55513
47.77,6.5,12.14146
45.61,5,11.61709
20.5,4.5,4.4795
46.53,3,3.92789
27.94,3,1.75474
26.75,6,9.462
30.24,4.5,4.67296
47.6,4.5,5.9068
24.29,8,4.50141
31.79,4.5,4.75666
47.36,6,15.72872
26.97,2,1.03156
47.3,6.5,12.0954
35.11,7,8.34334
31.5,2,1.627
36.81,5,10.79297
34.42,2,1.91316
37.37,7,8.86405
41.37,3,3.34481
44.3,5,11.5267
43.72,7,9.96104
37.18,6.5,10.49452
44.5,5,11.5405
20.75,3,0.16575
30.6,2,1.5388
49.29,4.5,6.06397
29.77,4.5,4.65563
28.55,8,5.90295
23.71,5,7.45093
41.68,7,9.69176
38.32,7,9.08293
29.61,5,9.71063
28.04,4.5,4.62276
40.43,5,11.25967
44.96,2,2.77248
30.3,6.5,8.3342
27.31,4.5,4.60889
24.63,2,0.68524
32.7,2,1.7446
41.62,7,9.68384
33.26,4.5,4.83604
32.58,7,7.76043
34.29,5,10.44773
47.49,6.5,12.11402
25.32,8,4.84028
36.87,2,2.15326
34.34,6,12.25544
35.59,5,10.62583
26.55,8,5.24495
26.06,5,8.35098
39.14,5,11.11218
37.51,6,13.57416
40.83,4.5,5.27719
41.07,2,2.52741
20.58,7,4.71115
28.5,6.5,7.8875
24.97,4.5,4.56443
21.49,5,6.60067
27.53,3,1.66413
35.04,6.5,9.82256
25.12,4.5,4.56728
40.53,6,14.69056
46.73,4.5,5.82589
33.88,6,12.06408
21.47,3,0.32487
44.51,8,9.15297
28.71,4.5,4.63549
38.61,5,11.03957
48.61,6,15.91872
31.58,7,7.53003
44.07,6.5,11.77886
35.94,6,12.92104
29.48,6,10.29192
20.73,7,4.75024
44.68,6.5,11.83864
21.18,8,3.47822
39.85,4.5,5.1919
29.82,8,6.32078
30.76,7,7.3411
28.27,6,9.92408
40.3,2,2.4789
26.12,6,9.27048
34.81,4.5,4.91974
36.75,6.5,10.3595
46.7,3,3.9471
25.49,4.5,4.57431
27.48,6,9.68392
47.95,7,10.5194
27.02,8,5.39958
32.69,2,1.74362
25.14,4.5,4.56766
29.02,6.5,8.0097
42.69,6.5,11.64362
48.23,2,2.97849
49.84,5,11.90896
37.92,3,2.98616
30.51,3,2.25998
24.04,8,4.41916
45.16,5,11.58604
34.9,7,8.29496
46.76,7,10.36232
21.42,3,0.31382
31.39,4.5,4.73506
40.26,6.5,11.40548
29.21,6.5,8.05435
45.26,4.5,5.68918
40.19,6.5,11.39862
43.95,4.5,5.56735
37.55,6.5,10.6107
47.28,5,11.73232
33.97,6,12.10152
39.65,5,11.18205
45.31,4.5,5.69383
22.93,4.5,4.52567
37.8,2,2.2444
30.52,8,6.48972
22.25,4.5,4.51275
47.99,3,4.09287
40.83,6,14.73616
20.12,3,0.02652
26.69,5,8.59227
49.24,7,10.68968
40.82,2,2.51166
35.38,6,12.68808
32.21,6,11.36936
31.41,3,2.34818
34.16,5,10.42992
21.39,7,4.92223
48.36,3,4.13468
31.35,3,2.3423
46.14,6.5,11.98172
47.43,5,11.74267
37.74,7,8.9493
32.18,6,11.35688
27.87,7,6.61092
42.17,5,11.37973
41.77,4.5,5.36461
31.3,6.5,8.6482
26.46,4.5,4.59274
20.19,6,7.46776
31.88,4.5,4.76152
47.69,7,10.48508
48.17,6.5,12.18066
44.06,5,11.51014
37.96,3,2.99008
42.89,6.5,11.66322
30.75,8,6.53825
28.55,4.5,4.63245
21.29,3,0.28509
37.91,3,2.98518
26.64,4.5,4.59616
30,2,1.48
32.73,8,6.95603
23.85,6,8.5804
21.83,4.5,4.50477
23.56,6.5,6.7266
45.72,6,15.47944
27.33,2,1.08484
38.23,4.5,5.10442
40.88,4.5,5.28184
37.97,5,10.95189
25.46,6.5,7.1731
40.66,7,9.55712
33.07,3,2.51086
30.09,6,10.48744
45.05,8,9.23235
25.62,7,6.02457
20.07,7,4.57824
34.54,6.5,9.66556
38.13,6.5,10.79282
40.16,5,11.24104
49.09,4.5,6.04537
35.65,3,2.7637
43.76,3,3.61488
32.93,3,2.49714
43.83,8,9.05301
30.83,4.5,4.70482
36.22,8,7.69242
42,8,8.784
35.62,6,12.78792
26.93,6.5,7.51855
34.06,6,12.13896
22.61,5,7.02963
28.1,5,9.1323
34.54,8,7.33794
49.69,4.5,6.10117
27.45,7,6.50147
40.77,2,2.50851
29.35,3,2.06635
20.26,8,3.17554
43.25,7,9.899
35.22,2,1.99156
40.69,7,9.56108
32.51,2,1.72598
39.31,7,9.31102
49.6,2,3.0648
44.97,6,15.36544
43.06,2,2.65278
35.07,6,12.55912
35.53,7,8.44011
45.03,3,3.75839
47.67,6.5,12.13166
37.49,8,7.96039
44.36,6,15.27272
45.37,3,3.79681
49.6,5,11.8924
47.32,8,9.56604
22.32,5,6.91856
49.98,2,3.08874
42.65,2,2.62695
30.26,6,10.55816
37.62,8,7.98782
30.54,8,6.49394
47.89,8,9.64983
29.32,3,2.05972
42.15,4.5,5.39995
46.45,5,11.67505
24.7,6,8.8388
47.93,6,15.81536
23.6,5,7.4088
33.89,8,7.20079
43.67,4.5,5.54131
39.71,4.5,5.18434
34.13,5,10.42581
45.88,7,10.24616
40.65,8,8.58555
26.45,3,1.42545
34.45,4.5,4.9003
21.49,4.5,4.49831
30.04,5,9.86548
38.57,8,8.18827
37.42,7,8.87557
31.72,7,7.56229
37.69,3,2.96362
29.66,2,1.42968
36.12,2,2.07976
45.35,3,3.79455
48.08,6,15.83816
28.34,7,6.7334
40.11,5,11.23759
41.33,4.5,5.32369
46.3,8,9.4161
25.1,6,8.9604
30.52,6,10.66632
23.31,4.5,4.53289
34.56,6.5,9.67184
36.5,2,2.117
32.05,7,7.63832
21.8,4.5,4.5042
38.07,5,10.96559
28.45,2,1.2506
38.48,2,2.31104
22.92,2,0.43216
24.49,8,4.56721
21.41,3,0.31161
26.94,5,8.68802
34.47,3,2.64806
38.94,8,8.26634
23.46,2,0.51208
32.95,6,11.6772
31.38,5,10.04906
32.33,5,10.17921
25.28,5,8.05224
29.84,7,7.1243
36.03,5,10.68611
24.07,2,0.60236
28.22,2,1.21656
26.39,6.5,7.39165
21.22,6,7.78088
27.76,5,9.00208
39.26,4.5,5.16004
44.78,6,15.33656
24.89,2,0.72372
30.4,2,1.5192
25.64,4.5,4.57716
27.29,6,9.62616
47.44,3,4.03072
44.77,8,9.19119
44.08,3,3.65104
24.64,5,7.80712
38.21,2,2.28458
21.14,3,0.25194
35.51,8,7.54261
45.38,6.5,11.90724
38.05,2,2.2689
43.53,8,9.00891
34.07,2,1.87886
49.32,5,11.87308
23.35,8,4.19215
34.81,2,1.95138
24.34,6,8.72936
32.28,2,1.70344
39.08,2,2.36984
36.39,6.5,10.24646
29.21,2,1.36308
45.95,6,15.5144
43.3,7,9.9056
36.64,3,2.86072
32.98,2,1.77204
20.28,2,0.04144
40.83,8,8.61201
23,3,0.663
36.1,3,2.8078
22.34,2,0.34632
26.79,7,6.32947
45.08,3,3.76404
27.42,6,9.66568
42.01,7,9.73532
34.5,6,12.322
36.19,6,13.02504
28.85,4.5,4.63815
42.86,3,3.51318
41.06,6,14.77112
45.32,3,3.79116
25.15,3,1.13815
22.64,7,5.24798
23.21,8,4.14609
36.66,3,2.86268
20.55,6.5,6.01925
24.62,8,4.60998
34.88,2,1.95824
25.35,6.5,7.14725
33.21,8,7.05731
46.34,6.5,12.00132
26.5,8,5.2285
44.79,2,2.76177
48.37,2,2.98731
37.61,7,8.91934
47.52,2,2.93376
40.91,6,14.74832
27.69,8,5.62001
36.45,6.5,10.2653
34.76,6,12.43016
25.3,6,9.0212
39.32,6,14.32712
35.67,6.5,10.02038
49.88,7,10.77416
43.05,2,2.65215
29.08,2,1.34384
40.65,5,11.27485
23.59,7,5.49555
30.41,5,9.91617
25.4,5,8.0982
26.85,4.5,4.60015
20.34,6.5,5.9699
42.5,6,14.99
46.24,3,3.89512
27.66,6.5,7.6901
25.12,5,7.99096
27.22,8,5.46538
40.35,4.5,5.23255
27.52,6.5,7.6572
23.01,7,5.34441
33.99,6,12.10984
38.29,8,8.12919
40.24,7,9.50168
36.86,4.5,5.03044
36.51,5,10.75187
32.04,6,11.29864
22.92,5,7.14836
38.45,3,3.0381
24.86,2,0.71928
42.88,6,15.04776
46.4,6.5,12.0072
36.99,8,7.85489
46.54,4.5,5.80822
27.24,8,5.47196
37.22,3,2.91756
38.71,7,9.17278
22.97,6.5,6.58795
25.85,6.5,7.26475
37.24,2,2.18952
31.08,7,7.41483
34.15,5,10.42855
33.71,8,7.16281
35.12,3,2.71176
31.15,4.5,4.7221
45.56,7,10.20392
33.09,4.5,4.82686
44.33,6.5,11.80434
20.35,5,6.16405
23.91,6,8.59864
46.8,3,3.9584
29.73,5,9.75659
39.13,6,14.24808
41.87,6,14.89424
34.44,2,1.91512
33.28,8,7.07208
24.83,6,8.87832
33.15,6.5,9.2291
23.33,4.5,4.53327
27.44,2,1.10112
36.92,7,8.76037
28.44,3,1.86524
22.33,4.5,4.51427
45.5,4.5,5.7115
40.76,3,3.27588
38.46,3,3.03908
47.58,7,10.47056
23.01,3,0.66521
21.99,4.5,4.50781
49.27,5,11.86963
28.5,3,1.8785
22.65,6,8.2156
25.24,6.5,7.1214
28.06,6.5,7.7841
32.87,8,6.98557
24.12,6,8.66248
30.85,2,1.5633
35.71,7,8.48158
49.12,6,15.99624
49.09,3,4.21717
45.42,6.5,11.91116
40.71,5,11.27899
40.01,2,2.46063
28.93,8,6.02797
45.6,3,3.8228
43.24,8,8.96628
23.84,6,8.57736
32.13,6,11.33608
36.23,5,10.71351
33.25,8,7.06575
34.94,6,12.50504
21.45,8,3.56705
37.82,3,2.97636
36.95,6,13.3412
28.32,7,6.72819
28.44,2,1.24912
32.29,4.5,4.78366
30.88,5,9.98056
28.03,5,9.10549
48.07,8,9.67629
48.11,4.5,5.95423
48.2,6,15.8564
27.9,7,6.61874
44.11,6.5,11.78278
39.52,6.5,11.22928
37.03,6.5,10.44742
29.64,2,1.42672
44.05,7,10.0046
21.93,3,0.42653
46.9,5,11.7061
24.09,4.5,4.54771
45.28,7,10.16696
35.46,6.5,9.95444
35.36,7,8.40094
47.88,2,2.95644
30.89,2,1.56722
37.01,6.5,10.44114
48.75,2,3.01125
27.39,5,8.86037
45.22,5,11.59018
28.43,6.5,7.87105
30.86,4.5,4.70644
46.67,3,3.94371
31.08,3,2.31584
21.46,6,7.85384
23.59,2,0.53132
47.15,7,10.4138
21.41,6.5,6.22135
44.82,5,11.56258
35.11,8,7.45821
36.97,3,2.89306
27.3,6,9.6292
26.92,4.5,4.60148
23.3,5,7.2939
44.24,5,11.52256
47.63,3,4.05219
33.25,6.5,9.2605
30.19,4.5,4.67026
49.62,5,11.89378
26.9,6,9.5076
37.97,7,9.00229
39.35,6,14.3396
40.84,6.5,11.46232
44.1,5,11.5129
34.43,4.5,4.89922
41.27,2,2.54001
49.87,8,9.94089
26.59,7,6.27735
36.83,2,2.14934
25.16,4.5,4.56804
41.91,5,11.36179
24.46,3,0.98566
37.83,6,13.70728
34.82,4.5,4.92028
26.51,3,1.43871
48.06,6,15.83512
35.97,6,12.93352
49.22,7,10.68704
26.25,6.5,7.35875
33.31,2,1.80438
40.59,8,8.57673
48.51,3,4.15163
48.95,3,4.20135
36.12,6,12.99592
43.79,6,15.18608
21.48,5,6.59684
41.72,7,9.69704
46.31,6,15.56912
44.61,5,11.54809
38.29,3,3.02242
39.13,2,2.37474
22.33,2,0.34484
23.07,2,0.45436
24.63,4.5,4.55797
38.56,7,9.13822
23.01,5,7.18283
42.47,4.5,5.42971
29.22,2,1.36456
38.61,6.5,10.94354
